central_bank_code,target_family,target_indicator_key,target_indicator,feature_indicator_key,feature_indicator,feature_category,observations,same_category,lag_score,correlation_score,pca_score,selected_lag,selection_reason,selection_score
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),manufacturing_pmi,S&P Global Manufacturing PMI,Growth,77,True,0.3044356852631203,0.287503355564666,0.2500254898605776,1,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5070008885168906
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),household_spending_mom,Household Spending (MoM),Growth,76,True,0.3157765904375745,0.2752887336426786,0.2378238547192943,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5053596639976062
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),balance_of_trade,Balance of Trade,Growth,78,True,0.3373467512676772,0.1798662214104017,0.2133737597787798,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.4852719684603922
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),machine_tool_orders_yoy,Machine Tool Orders (YoY),Growth,80,True,0.2690760534223743,0.1320647512401142,0.3153816985389736,4,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.45801090419294865
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),household_spending_yoy,Household Spending (YoY),Growth,76,True,0.2790191480829547,0.2686987601328896,0.0,4,"lag_relationship,correlated_with_target,same_macro_theme",0.4511682446771965
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),machinery_orders_yoy,Machinery Orders (YoY),Growth,76,True,0.2924241225094549,0.1859147947121163,0.0,1,"lag_relationship,correlated_with_target,same_macro_theme",0.43236529354288955
BOJ,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,75,False,0.0,0.6467461333494562,0.2423028146893594,1,"correlated_with_target,pca_driver",0.3241192622082408
BOJ,unemployment,unemployment_rate,Unemployment Rate,coincident_index,Coincident Index,Growth,76,False,0.0,0.5918649726161849,0.2030862697210742,1,"correlated_with_target,pca_driver",0.3030224322430166
BOJ,unemployment,unemployment_rate,Unemployment Rate,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,75,False,0.0,0.5448170361976659,0.299368559399061,1,"correlated_with_target,pca_driver",0.3021003947691589
BOJ,unemployment,unemployment_rate,Unemployment Rate,machine_tool_orders_yoy,Machine Tool Orders (YoY),Growth,80,False,0.0,0.3569300876620625,0.3153816985389736,1,"correlated_with_target,pca_driver",0.2543862810794648
BOJ,unemployment,unemployment_rate,Unemployment Rate,cpi_index,Consumer Price Index,Inflation,70,False,0.0,0.4457158495564212,0.2118882974725932,1,"correlated_with_target,pca_driver",0.2529979994878153
BOJ,unemployment,unemployment_rate,Unemployment Rate,leading_economic_index,Leading Economic Index,Growth,76,False,0.0,0.3096341553736023,0.2320006974664118,1,"correlated_with_target,pca_driver",0.22269035123204245
BOJ,unemployment,unemployment_rate,Unemployment Rate,services_pmi,S&P Global Services PMI,Growth,77,False,0.0,0.2977209178805975,0.2276024113633742,1,"correlated_with_target,pca_driver",0.21970663706868537
BOJ,unemployment,unemployment_rate,Unemployment Rate,reuters_tankan_index,Reuters Tankan Index,Sentiment,76,False,0.0,0.2684547990969141,0.2118315812685053,1,"correlated_with_target,pca_driver",0.20731117691935003
