central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,new_motor_vehicle_sales_ma3,0.009868908280038629
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_yoy_lag6,0.009830882623337605
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_ex_autos_mom_lag6,0.009673291509325476
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,ivey_pmi_sa_lag3,0.009280799526479764
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,employment_change_lag6,0.009271111025526626
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,target_ma3,0.00887912057858694
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,part_time_employment_change_lag3,0.008765310854740718
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_lag1,0.008641051645564812
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,new_motor_vehicle_sales_lag1,0.008043363638908384
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,wholesale_sales_mom_lag6,0.00787336566694363
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,raw_materials_prices_mom_lag1,0.007729551460144523
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cpi_headline_mom_lag6,0.007696404904003078
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_pmi_lag3,0.007077121343697296
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,new_motor_vehicle_sales_ma6,0.007062863854195906
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cpi_headline_mom_ma3,0.007026227926902518
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,new_motor_vehicle_sales_lag6,0.006995988280016638
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_yoy_lag1,0.006309959561431828
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_yoy_ma6,0.006256598038392488
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_lag1,0.006041251000216536
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cpi_headline_mom_lag3,0.00604108797485739
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cfib_business_barometer_lag6,0.0059809805458936076
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,raw_materials_prices_mom_ma6,0.005840303687919092
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_ma6,0.004899293301745868
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_lag2,0.004353338744296318
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cfib_business_barometer_ma6,0.003890612626813632
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,services_pmi_lag2,0.003780860899040492
