weight_id,country_code,currency_code,macro_theme,headline_target_type,headline_indicator_id,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,lag_months,observation_pairs,correlation,abs_correlation,sample_adjustment,multicollinearity_penalty,raw_weight,assigned_weight,signal_direction,confidence_bucket,processed_at
106,UK,GBP,Inflation,CPI,50,cpi_headline_mom,71,core_cpi_mom,Core CPI (MoM),0,66,0.633030,0.633030,1.000000,1.000000,0.633030,0.145187,1.000000,high,2026-04-24T19:46:38.494302+00:00
107,UK,GBP,Inflation,CPI,50,cpi_headline_mom,76,ppi_input_mom,PPI Input (MoM),1,60,0.502455,0.502455,1.000000,1.000000,0.502455,0.115239,1.000000,medium,2026-04-24T19:46:38.494302+00:00
108,UK,GBP,Inflation,CPI,50,cpi_headline_mom,78,retail_price_index_mom,Retail Price Index (MoM),0,66,0.790748,0.790748,1.000000,0.650000,0.513986,0.117884,1.000000,high,2026-04-24T19:46:38.494302+00:00
109,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,79,retail_price_index_yoy,Retail Price Index (YoY),6,71,0.460395,0.460395,1.000000,0.650000,0.299257,0.068635,1.000000,medium,2026-04-24T19:46:38.494302+00:00
110,UK,GBP,Labor,UNEMPLOYMENT,53,unemployment_rate,83,cbi_industrial_trends_orders,CBI Industrial Trends Orders,0,72,0.431991,0.431991,1.000000,1.000000,0.431991,1.000000,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
111,US,USD,Inflation,CPI,20,cpi_headline_mom,19,cpi_headline_yoy,Headline CPI (YoY),0,31,0.702272,0.702272,1.000000,1.000000,0.702272,0.151952,1.000000,medium,2026-04-24T19:46:38.494302+00:00
112,US,USD,Inflation,CPI,19,cpi_headline_yoy,21,ppi_yoy,PPI (YoY),6,28,0.506714,0.506714,1.000000,0.650000,0.329364,0.071265,1.000000,medium,2026-04-24T19:46:38.494302+00:00
113,US,USD,Inflation,CPI,20,cpi_headline_mom,26,nfp,Non-Farm Payrolls,0,30,0.546667,0.546667,1.000000,0.650000,0.355334,0.076884,1.000000,medium,2026-04-24T19:46:38.494302+00:00
114,US,USD,Inflation,CPI,20,cpi_headline_mom,27,unemployment_rate,Unemployment Rate,0,30,-0.695563,0.695563,1.000000,0.650000,0.452116,0.097825,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
115,US,USD,Inflation,CPI,20,cpi_headline_mom,33,initial_jobless_claims,Initial Jobless Claims,1,70,-0.459091,0.459091,1.000000,1.000000,0.459091,0.099335,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
