central_bank_code,month,strength_score
FED,2022-09-01,0.3896042430876608
FED,2022-10-01,0.3012315395262529
FED,2022-11-01,0.1570376462107114
FED,2022-12-01,-0.04476512839855924
FED,2023-02-01,0.07162094970603569
FED,2023-03-01,-0.061045197510297876
FED,2023-04-01,0.0899901888384263
FED,2023-05-01,-0.13302039905874846
FED,2023-06-01,-0.04386890918864953
FED,2023-08-01,0.011544060770923502
FED,2023-09-01,0.006437857268032708
FED,2023-10-01,-0.16612134402797904
FED,2023-11-01,-0.16541250546196312
FED,2023-12-01,-0.07039407653629975
FED,2024-03-01,-0.018749716273571707
FED,2024-04-01,-0.05970793090150856
FED,2024-05-01,-0.16556422751999558
FED,2024-06-01,-0.023325533684578348
FED,2024-09-01,-0.09667492282109184
FED,2024-10-01,-0.16225402478418852
FED,2024-11-01,-0.13584901138108665
FED,2024-12-01,-0.06163209628280492
FED,2025-03-01,-0.03704209025118385
FED,2025-04-01,-0.08256502856215608
FED,2025-05-01,-0.08134533275394204
FED,2025-06-01,0.05907223793174167
FED,2025-09-01,-0.02956396698572656
FED,2025-10-01,-0.03152261383878526
FED,2025-11-01,0.03444164481423027
FED,2025-12-01,0.030737783726940065
FED,2026-01-01,-0.0172549605126927
FED,2026-02-01,0.07156426511344577
FED,2026-03-01,0.09643342613058715
FED,2026-04-01,0.1123529337610287
RBA,2019-10-01,-0.2800104201098364
RBA,2019-11-01,-0.046469042888425946
RBA,2019-12-01,-0.05807817756503921
RBA,2020-01-01,-0.3319954231097431
RBA,2020-02-01,-0.17109239051311953
RBA,2020-03-01,-0.27159025869706266
RBA,2020-04-01,-1.530822945592352
RBA,2020-05-01,-0.4765483807397375
RBA,2020-06-01,0.036034064602117166
RBA,2020-07-01,-0.3291881322202957
RBA,2020-08-01,-0.06264356200344116
RBA,2020-09-01,-0.11513448349630528
RBA,2020-10-01,-0.28225251232019133
RBA,2020-11-01,0.02197700973526244
RBA,2020-12-01,-0.0745614410382155
RBA,2021-01-01,-0.33579916883862243
RBA,2021-02-01,-0.028704513850945346
RBA,2021-03-01,-0.013687772317975402
RBA,2021-04-01,-0.1969527443199688
RBA,2021-05-01,0.04000088214977878
RBA,2021-06-01,0.04306782018835346
RBA,2021-07-01,-0.05724461235780843
RBA,2021-08-01,-0.12108042880459477
RBA,2021-09-01,-0.036690450879646605
RBA,2021-10-01,0.09030738318436364
RBA,2021-11-01,0.1986125656432067
RBA,2021-12-01,0.055611946371222534
RBA,2022-01-01,0.46176199337372176
RBA,2022-02-01,0.049103097782136555
RBA,2022-03-01,0.27484247602477163
RBA,2022-04-01,0.6272539504773833
RBA,2022-05-01,0.2804116552264784
RBA,2022-06-01,0.30638329081422655
RBA,2022-07-01,0.6768978705973727
RBA,2022-08-01,0.13005830982569036
RBA,2022-09-01,0.23541634884621812
RBA,2022-10-01,0.5988776736575789
RBA,2022-11-01,0.1744778123916594
RBA,2022-12-01,0.08482665885105026
RBA,2023-01-01,0.4578447119018109
RBA,2023-02-01,0.032349369239324556
RBA,2023-03-01,0.07951423435918914
RBA,2023-04-01,0.14405457362814372
RBA,2023-05-01,0.06851670255347367
RBA,2023-06-01,0.01041104044910414
RBA,2023-07-01,0.2732616499064498
RBA,2023-08-01,-0.03513938731891947
RBA,2023-09-01,0.02013152418793657
RBA,2023-10-01,0.011686785692254849
RBA,2023-11-01,-0.06240386353502714
RBA,2023-12-01,-0.020395799042978613
RBA,2024-01-01,0.11642142049994009
RBA,2024-02-01,0.009972941774981075
RBA,2024-03-01,-0.07857799895180663
RBA,2024-04-01,0.04908344755710986
RBA,2024-05-01,-0.020839402934495897
RBA,2024-06-01,-0.006611151564430628
RBA,2024-07-01,-0.05709964191691647
RBA,2024-08-01,-0.03413895119508191
RBA,2024-09-01,-0.11014640821581308
RBA,2024-10-01,-0.12187433844463667
RBA,2024-11-01,-0.036983140816686876
RBA,2024-12-01,-0.036064103366940846
RBA,2025-01-01,-0.04181581606024761
RBA,2025-02-01,-0.08895156675010067
RBA,2025-03-01,-0.0076221988589711565
RBA,2025-04-01,-0.09187792212463912
RBA,2025-05-01,-0.07557181451651844
RBA,2025-06-01,-0.03350910842059045
RBA,2025-07-01,0.13742502442008908
RBA,2025-08-01,-0.001975329041617664
RBA,2025-09-01,-0.013854797800721028
RBA,2025-10-01,0.025532326710706942
RBA,2025-11-01,-0.0699130372681325
RBA,2025-12-01,0.015092359870358372
RBA,2026-01-01,0.014748704767405016
RBA,2026-02-01,0.00037656183943299477
RBA,2026-03-01,-0.026902069103304282
RBA,2026-04-01,0.06211568665456199
RBNZ,2019-10-01,-0.1025420830186155
RBNZ,2019-12-01,-0.05961413829497001
RBNZ,2020-01-01,-0.1739808078739869
RBNZ,2020-02-01,-0.08717377834119076
RBNZ,2020-03-01,-0.02209774635559122
RBNZ,2020-04-01,-0.47016394619070934
RBNZ,2020-05-01,-0.0866319491356153
RBNZ,2020-06-01,-0.05188001635911075
RBNZ,2020-07-01,-0.2949830689557372
RBNZ,2020-08-01,-0.025653512569824538
RBNZ,2020-09-01,-0.016096012146714474
RBNZ,2020-10-01,-0.28588851649618147
RBNZ,2020-11-01,-0.05683108445849087
RBNZ,2020-12-01,-0.04569133445105203
RBNZ,2021-01-01,-0.23713307750670654
RBNZ,2021-02-01,-0.09298863410365431
RBNZ,2021-03-01,-0.02096790996010426
RBNZ,2021-04-01,-0.01949469662655487
RBNZ,2021-05-01,-0.028741102703914594
RBNZ,2021-06-01,-0.024866991730392887
RBNZ,2021-07-01,0.21709536444045371
RBNZ,2021-08-01,0.06851363391119253
RBNZ,2021-09-01,0.05791554699472253
RBNZ,2021-10-01,0.09217433525697935
RBNZ,2021-11-01,0.04724157634527598
RBNZ,2021-12-01,0.03595556751790129
RBNZ,2022-01-01,0.1460036986545758
RBNZ,2022-02-01,0.022478161208139974
RBNZ,2022-03-01,0.06591124890780116
RBNZ,2022-04-01,0.18048234837333293
RBNZ,2022-05-01,0.042948913043146665
RBNZ,2022-06-01,0.08641796021809683
RBNZ,2022-07-01,0.47609056458692167
RBNZ,2022-08-01,0.16523089992728618
RBNZ,2022-09-01,0.13216249046440598
RBNZ,2022-10-01,0.4323810539920395
RBNZ,2022-11-01,0.173570630391138
RBNZ,2022-12-01,0.06386157318877567
RBNZ,2023-01-01,0.27314329516265284
RBNZ,2023-02-01,-0.002095143432909529
RBNZ,2023-03-01,0.045304425595083686
RBNZ,2023-04-01,0.356607567119115
RBNZ,2023-05-01,0.04838110302946082
RBNZ,2023-06-01,0.015298513659385763
RBNZ,2023-07-01,0.17091895200490437
RBNZ,2023-08-01,-0.04678095608739987
RBNZ,2023-09-01,-0.05491678032212538
RBNZ,2023-10-01,0.1021453309907982
RBNZ,2023-11-01,-0.02552194848781543
RBNZ,2023-12-01,-0.02762749415479913
RBNZ,2024-01-01,-0.028618157678116585
RBNZ,2024-02-01,-0.031619005075125474
RBNZ,2024-03-01,-0.000991138918774147
RBNZ,2024-04-01,0.07054932322456452
RBNZ,2024-05-01,0.0332262654321327
RBNZ,2024-06-01,-0.007676985242948766
RBNZ,2024-07-01,-0.09566280625831129
RBNZ,2024-08-01,-0.08116164382765335
RBNZ,2024-09-01,-0.0851278827851745
RBNZ,2024-10-01,-0.1613487249527795
RBNZ,2024-11-01,-0.027824899637741377
RBNZ,2024-12-01,-0.01062632048323583
RBNZ,2025-01-01,-0.17417815896036393
RBNZ,2025-02-01,-0.010938588996463994
RBNZ,2025-03-01,0.023551553019698412
RBNZ,2025-04-01,-0.14028531680446193
RBNZ,2025-05-01,0.039401276649751286
RBNZ,2025-06-01,-0.009019223165223805
RBNZ,2025-07-01,-0.16527670832082964
RBNZ,2025-08-01,-0.03753808752772015
RBNZ,2025-09-01,-0.044343259107816405
RBNZ,2025-10-01,-0.21317493571110516
RBNZ,2025-11-01,-0.0038352524271250857
RBNZ,2025-12-01,0.016023322720863948
RBNZ,2026-01-01,-0.0454941692193009
RBNZ,2026-02-01,-0.01742099058670006
RBNZ,2026-03-01,0.051538489420551004
SNB,2019-10-01,0.0012570545604737395
SNB,2019-11-01,-0.00035748676922334633
SNB,2019-12-01,0.006780733441231413
SNB,2020-01-01,-0.23495111746382208
SNB,2020-02-01,-0.1771999538427654
SNB,2020-03-01,-0.21232559046421823
SNB,2020-04-01,-0.9201044682654367
SNB,2020-05-01,-0.5035293694734644
SNB,2020-06-01,-0.3978931146852803
SNB,2020-07-01,-0.4142468108540661
SNB,2020-08-01,-0.5303260899855126
SNB,2020-09-01,-0.34129437022560216
SNB,2020-10-01,-0.3096652516479642
SNB,2020-11-01,-0.49080694388438684
SNB,2020-12-01,-0.43633188965811653
SNB,2021-01-01,-0.47258877852430714
SNB,2021-02-01,-0.3953364969903702
SNB,2021-03-01,-0.259705994345954
SNB,2021-04-01,-0.16016600893054192
SNB,2021-05-01,-0.07778990764315022
SNB,2021-06-01,-0.12303184684899722
SNB,2021-07-01,-0.13404585829793597
SNB,2021-08-01,0.15296519107141676
SNB,2021-09-01,0.027679285427689628
SNB,2021-10-01,0.1654938942859549
SNB,2021-11-01,0.25735293029791345
SNB,2021-12-01,0.08413232212189768
SNB,2022-01-01,0.35938548462629066
SNB,2022-02-01,0.3027968898200169
SNB,2022-03-01,0.7565287712479767
SNB,2022-04-01,0.6683276792584885
SNB,2022-05-01,0.9384522541479615
SNB,2022-06-01,0.8497678739573467
SNB,2022-07-01,0.6624995806380585
SNB,2022-08-01,0.6848164918532402
SNB,2022-09-01,0.5576435890095003
SNB,2022-10-01,0.5560234181966227
SNB,2022-11-01,0.6389396643660736
SNB,2022-12-01,0.25035892399839776
SNB,2023-01-01,0.6514955915536726
SNB,2023-02-01,0.5664064607657358
SNB,2023-03-01,0.43020382041401145
SNB,2023-04-01,0.39894097612764845
SNB,2023-05-01,0.16483053407201706
SNB,2023-06-01,0.17423357128858616
SNB,2023-07-01,0.14648728808601352
SNB,2023-08-01,0.17127676015983362
SNB,2023-09-01,-0.07422397775504447
SNB,2023-10-01,0.18745653080438648
SNB,2023-11-01,0.001405416301803103
SNB,2023-12-01,0.16660245571998195
SNB,2024-01-01,-0.0018597518455090063
SNB,2024-02-01,0.1929132268324606
SNB,2024-03-01,-0.025099065516517825
SNB,2024-04-01,0.04558903064769711
SNB,2024-05-01,-0.08235813054097973
SNB,2024-06-01,-0.17315292187148124
SNB,2024-07-01,-0.1827819842113057
SNB,2024-08-01,-0.03662175976108318
SNB,2024-09-01,-0.22720292127910904
SNB,2024-10-01,-0.39056570704534954
SNB,2024-11-01,-0.25064828629005176
SNB,2024-12-01,-0.20908526808802594
SNB,2025-01-01,-0.2705307739448413
SNB,2025-02-01,-0.01727111187111596
SNB,2025-03-01,-0.23378973982771065
SNB,2025-04-01,-0.17780350497253883
SNB,2025-05-01,-0.05492063680317958
SNB,2025-06-01,-0.18003055781521762
SNB,2025-07-01,-0.23308226659314307
SNB,2025-08-01,-0.23138720072409633
SNB,2025-09-01,-0.14348000420825363
SNB,2025-10-01,-0.26409565839466953
SNB,2025-11-01,-0.2684936300397866
SNB,2025-12-01,-0.22806007794222016
SNB,2026-01-01,-0.3492585710150322
SNB,2026-02-01,-0.2665259127521461
SNB,2026-03-01,-0.05501692519087774
