central_bank_code,indicator_key,indicator,indicator_category,observations,contribution_pearson_ic,contribution_spearman_ic,contribution_hit_rate,impact_score
BOJ,industrial_production_yoy,Industrial Production (YoY),Growth,74,-0.05649410983352081,-0.09258477630709368,0.47297297297297297,-0.06683329861969932
BOJ,consumer_confidence,Consumer Confidence,Sentiment,75,-0.0840272938957498,-0.04980327984010599,0.4533333333333333,-0.07562129756657338
BOJ,capacity_utilization,Capacity Utilization,Growth,73,-0.1002108325890801,-0.10180135165072947,0.4657534246575342,-0.0943444519267452
BOJ,leading_economic_index,Leading Economic Index,Growth,74,-0.08436693239271241,-0.11773069657701596,0.44594594594594594,-0.09912429679108262
BOJ,machinery_orders_mom,Machinery Orders (MoM),Growth,73,-0.12268048970215313,-0.10928725722752378,0.4794520547945205,-0.10234560010152548
BOJ,machinery_orders_yoy,Machinery Orders (YoY),Growth,74,-0.13425015317784225,-0.10389591189617305,0.47297297297297297,-0.10910466096858384
BOJ,composite_pmi,S&P Global Composite PMI,Growth,73,-0.09218588908393295,-0.12510994613170381,0.410958904109589,-0.11924236673764202
BOJ,eco_watchers_current,Eco Watchers Survey Current,Sentiment,75,-0.12357378772295857,-0.19195504608320751,0.48,-0.12737340768644154
BOJ,reuters_tankan_index,Reuters Tankan Index,Sentiment,76,-0.10540721597324605,-0.14662234238601304,0.3684210526315789,-0.14932188964979537
BOJ,tankan_large_manufacturing_outlook,Tankan Large Manufacturing Outlook,Sentiment,25,-0.19924107546335304,-0.09702480447310084,0.44,-0.15272797907360677
BOJ,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,Sentiment,25,-0.18970609997619264,-0.1193521780786856,0.44,-0.154658703411702
BOJ,tankan_large_manufacturers_index,Tankan Large Manufacturers Index,Sentiment,25,-0.19915973160614864,-0.13199616489475172,0.44,-0.16317871527149982
BOJ,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,25,-0.21099387058141006,-0.191767545412634,0.48,-0.17102719891449525
BOJ,cpi_headline_mom,Headline CPI (MoM),Inflation,68,-0.15455834281253392,-0.21929858613344974,0.4264705882352941,-0.17248051195218422
BOJ,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,73,-0.1306345430366083,-0.2313591398421128,0.3835616438356164,-0.1813003559366914
BOJ,household_spending_mom,Household Spending (MoM),Growth,74,-0.21389858771906112,-0.26323819532139503,0.4189189189189189,-0.2183531848883815
BOJ,eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,75,-0.20485042797302178,-0.2952872179009583,0.41333333333333333,-0.22567804602346506
BOJ,tankan_large_all_industry_capex,Tankan Large All Industry Capex,Sentiment,25,-0.2525245422864635,-0.24004616716403193,0.4,-0.2382761212924413
BOJ,tankan_small_manufacturers_index,Tankan Small Manufacturers Index,Sentiment,24,-0.3348801183644926,-0.2615172024258986,0.375,-0.2958952199100159
ECB,services_pmi,Services PMI,Growth,19,0.3253440982705971,0.33977186053872793,0.5789473684210527,0.296182554665338
ECB,composite_pmi,Composite PMI,Growth,19,0.3055003497912533,0.2939886197891535,0.5789473684210527,0.27252570820079375
ECB,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,75,0.2484535857830259,0.1823724137355987,0.5866666666666667,0.21360518367885922
ECB,cpi_index,Consumer Price Index,Inflation,50,0.19701152491707621,0.16231271628396327,0.58,0.17919957734372705
ECB,unemployment_rate,Unemployment Rate,Labor,74,0.044411098317186065,0.14012007070390592,0.5540540540540541,0.08586319199138642
ECB,consumer_confidence,Consumer Confidence,Sentiment,76,0.06480513951321826,0.11329732924427091,0.5263157894736842,0.07691808431936407
