central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),capacity_utilization,Capacity Utilization,Growth,2,23,0.7716703300996114,0.5002476472289694,0.7716703300996114,0.5002476472289694,positive,True,0.3302692824483402,0.0229257541954858,0.3194444444444444,0.5468409219740555,currency_positive,strong positive Pearson correlation (0.77); Spearman 0.50; same macro theme; PCA loading signal 0.33; model importance signal 0.02,0.05761600411957536,5.761600411957536
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,2,24,0.7051276770984002,0.5107963778789648,0.7051276770984002,0.5107963778789648,positive,True,0.3431737002512582,0.0413406068636788,0.3333333333333333,0.5358300812506982,currency_positive,strong positive Pearson correlation (0.71); Spearman 0.51; same macro theme; PCA loading signal 0.34; model importance signal 0.04,0.05645588493502933,5.645588493502933
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),machinery_orders_mom,Machinery Orders (MoM),Growth,2,24,0.6372626136562074,0.6119698944008043,0.6372626136562074,0.6119698944008043,positive,True,0.0,0.3933786162048102,0.3333333333333333,0.5337804610651742,currency_positive,moderate positive Pearson correlation (0.64); Spearman 0.61; same macro theme; model importance signal 0.39,0.05623993378670192,5.623993378670192
BOC,inflation,core_cpi_yoy,Core CPI (YoY),unemployment_rate,Unemployment Rate,Labor,1,76,-0.6459093791012588,-0.7098731046438465,0.6459093791012588,0.7098731046438465,negative,False,0.3419538347147182,0.0232162693763409,1.0,0.5012458907017742,disinflationary_or_growth_sensitive,moderate negative Pearson correlation (-0.65); Spearman -0.71; PCA loading signal 0.34; model importance signal 0.02,0.056038763797226714,5.603876379722672
BOE,gdp_growth,gdp_yoy,GDP (YoY),industrial_production_yoy,Industrial Production (YoY),Growth,2,73,0.9296197876439971,0.732025230576658,0.9296197876439971,0.732025230576658,positive,True,0.3013040413071897,0.0310861648242111,1.0,0.7048103578639409,currency_positive,strong positive Pearson correlation (0.93); Spearman 0.73; same macro theme; PCA loading signal 0.30; model importance signal 0.03,0.054691355291827275,5.4691355291827275
BOJ,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,74,-0.6467461333494563,-0.6033538476404748,0.6467461333494563,0.6033538476404748,negative,False,0.2423028146893594,0.0942238272972632,1.0,0.47432716681755127,currency_positive,moderate negative Pearson correlation (-0.65); Spearman -0.60; PCA loading signal 0.24; model importance signal 0.09,0.05369508518382423,5.369508518382423
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),employment_change,Employment Change,Labor,1,72,0.8423084220618444,0.4234108147175056,0.8423084220618444,0.4234108147175056,positive,False,0.3072153942361847,0.0501041257849389,1.0,0.5011911619080073,currency_positive,strong positive Pearson correlation (0.84); Spearman 0.42; PCA loading signal 0.31; model importance signal 0.05,0.053252514084882005,5.3252514084882
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),industrial_production_mom,Industrial Production (MoM),Growth,2,24,0.7218127462139565,0.38101466869145345,0.7218127462139565,0.38101466869145345,positive,True,0.2989540259049987,0.0146907737818489,0.3333333333333333,0.502389247141625,currency_positive,strong positive Pearson correlation (0.72); Spearman 0.38; same macro theme; PCA loading signal 0.30; model importance signal 0.01,0.05293250700487177,5.293250700487177
FED,inflation,core_cpi_yoy,Core CPI (YoY),core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,1,34,0.9714440755849147,0.9677593302207639,0.9714440755849147,0.9677593302207639,positive,True,0.1842462934205236,0.0209030160422452,0.4722222222222222,0.6889251564847253,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.97); Spearman 0.97; same macro theme; PCA loading signal 0.18; model importance signal 0.02,0.052810792901715545,5.281079290171554
BOC,inflation,core_cpi_yoy,Core CPI (YoY),raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,3,75,0.40373858789627476,0.4195700479102324,0.40373858789627476,0.4195700479102324,positive,True,0.2611480041221345,0.0,1.0,0.47204222669291307,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.40); Spearman 0.42; same macro theme; PCA loading signal 0.26,0.05277382485256048,5.277382485256048
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,2,28,0.7179033403810899,0.6783508294819224,0.7179033403810899,0.6783508294819224,positive,True,0.2264625412710353,0.0109944743528494,0.3888888888888889,0.552562374968371,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.72); Spearman 0.68; same macro theme; PCA loading signal 0.23; model importance signal 0.01,0.05256282695697305,5.256282695697305
FED,unemployment,unemployment_rate,Unemployment Rate,participation_rate,Labor Force Participation Rate,Labor,2,36,-0.8345479196448111,-0.6795835920140351,0.8345479196448111,0.6795835920140351,negative,True,0.2385193763975871,0.0605259359309591,0.5,0.6095039911560791,currency_positive,strong negative Pearson correlation (-0.83); Spearman -0.68; same macro theme; PCA loading signal 0.24; model importance signal 0.06,0.052373028413788804,5.23730284137888
