central_bank_code,left_indicator_key,left_indicator,left_category,left_importance,right_indicator_key,right_indicator,right_category,right_importance,observations,correlation,abs_correlation
FED,philly_fed_mfg,Philadelphia Fed Manufacturing Index,Growth,2,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,2,24,0.567002608789501,0.567002608789501
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,1,ppi_yoy,PPI (YoY),Inflation,2,75,0.566832381065192,0.566832381065192
BOJ,balance_of_trade,Balance of Trade,Growth,2,current_account,Current Account,Growth,2,75,0.5667307633984636,0.5667307633984636
FED,export_prices_yoy,Export Prices (YoY),Inflation,3,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,2,26,0.5664989923845313,0.5664989923845313
FED,core_ppi_mom,Core PPI (MoM),Inflation,2,ism_services_employment,ISM Services Employment,Growth,2,24,0.5663233198611911,0.5663233198611911
RBA,full_time_employment_change,Full-Time Employment Change,Labor,1,services_pmi,Services PMI,Growth,2,59,0.5659318336641233,0.5659318336641233
BOC,cfib_business_barometer,CFIB Business Barometer,Sentiment,2,services_pmi,Services PMI,Growth,2,30,0.5658205243321064,0.5658205243321064
BOE,cbi_business_optimism,CBI Business Optimism Index,Sentiment,3,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,2,24,0.5649891625491347,0.5649891625491347
RBNZ,imports,Imports,Growth,2,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,2,24,0.5644535242246863,0.5644535242246863
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,1,ppi_yoy,PPI (YoY),Inflation,2,32,0.564216103058257,0.564216103058257
BOJ,consumer_confidence,Consumer Confidence,Sentiment,2,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,2,25,0.5641245970399895,0.5641245970399895
BOJ,imports_yoy,Imports (YoY),Growth,2,reuters_tankan_index,Reuters Tankan Index,Sentiment,2,75,0.5640276432071936,0.5640276432071936
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,1,unemployment_rate,Unemployment Rate,Labor,1,34,-0.5637053356610547,0.5637053356610547
FED,private_nonfarm_payrolls,Private Nonfarm Payrolls,Labor,2,unemployment_rate,Unemployment Rate,Labor,1,36,-0.5635681171355305,0.5635681171355305
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,pce_price_index_mom,PCE Price Index (MoM),Inflation,1,30,0.5628181626671082,0.5628181626671082
FED,core_ppi_mom,Core PPI (MoM),Inflation,2,ism_manufacturing_new_orders,ISM Manufacturing New Orders,Growth,2,28,0.5623891063606048,0.5623891063606048
