central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
RBA,monthly_cpi_indicator,Monthly CPI Indicator,Inflation,commodity_prices_yoy,Commodity Prices (YoY),Inflation,6,0.6087965978387142,0.6087965978387142,32,6,1,0.2455148278046818,False
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,core_cpi_mom,Core CPI (MoM),Inflation,6,0.5274662104307427,0.5274662104307427,39,6,1,0.24906096506277892,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,0,0.631984040548648,0.631984040548648,29,4,2,0.24935968098142233,False
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,4,0.6625496179092646,0.6625496179092646,27,5,1,0.26022316179856925,False
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.8791464191429698,0.8791464191429698,25,4,1,0.26850275697640497,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,0,0.4844217990700883,0.4844217990700883,33,5,1,0.2696340977835243,False
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,6,-0.6149188555096377,0.6149188555096377,18,4,1,0.27433555824566974,False
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,michigan_inflation_expectations,Michigan Inflation Expectations,Inflation,1,0.6522971831783306,0.6522971831783306,31,5,1,0.29691973325605103,False
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0,0.7812618939838821,0.7812618939838821,25,4,2,0.2978466011459049,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,michigan_inflation_expectations,Michigan Inflation Expectations,Inflation,5,-0.5191388150651303,0.5191388150651303,23,4,3,0.30189327655780335,False
FED,core_cpi_yoy,Core CPI (YoY),Inflation,michigan_inflation_expectations,Michigan Inflation Expectations,Inflation,5,0.6460053724814265,0.6460053724814265,28,5,1,0.3049768296898141,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,michigan_inflation_expectations,Michigan Inflation Expectations,Inflation,5,-0.4462404509990696,0.4462404509990696,25,5,1,0.3118813451611416,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,ppi_mom,PPI (MoM),Inflation,0,0.8392000262294966,0.8392000262294966,30,5,2,0.321953129535089,False
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_price_index_yoy,Producer Price Index (YoY),Inflation,0,0.8682017160814696,0.8682017160814696,25,4,3,0.3514258425323799,False
FED,core_cpi_mom,Core CPI (MoM),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,6,-0.6574707744885728,0.6574707744885728,25,5,3,0.3648453963076778,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,umich_inflation_exp_5y,UMich 5Y Inflation Expectations,Inflation,5,-0.4812488672818262,0.4812488672818262,23,4,4,0.36976745100985825,False
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0,0.7828344517070255,0.7828344517070255,24,4,4,0.3983980050693066,False
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,retail_price_index_yoy,Retail Price Index (YoY),Inflation,0,0.9957769964407347,0.9957769964407347,76,6,5,0.4128015027415604,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,0,0.7249231040352614,0.7249231040352614,29,4,2,0.4413876890747552,False
