central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,core_rpi_yoy,Core RPI (YoY),Inflation,6,-0.7764064116451265,0.7764064116451265,18
BOE,gdp_mom,GDP (MoM),Growth,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,0,0.7762232366005224,0.7762232366005224,68
BOC,core_cpi_yoy,Core CPI (YoY),Inflation,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,6,0.775959337422969,0.775959337422969,69
FED,core_cpi_mom,Core CPI (MoM),Inflation,cpi_index,CPI Index,Inflation,4,-0.7749754916929952,0.7749754916929952,23
BOJ,gdp_qoq,GDP (QoQ),Growth,capacity_utilization,Capacity Utilization,Growth,0,0.7716703300996116,0.7716703300996116,23
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,ppi_mom,PPI (MoM),Inflation,6,0.76714709107186,0.76714709107186,28
ECB,cpi_headline_yoy,Headline HICP (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,6,0.7652860874230513,0.7652860874230513,70
FED,pce_price_index_yoy,PCE Price Index (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,4,0.7604451274566257,0.7604451274566257,27
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,0,0.7597409242187572,0.7597409242187572,30
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,6,0.7589237256753845,0.7589237256753845,69
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,3,0.7557377319061073,0.7557377319061073,21
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,retail_sales_yoy,Retail Sales (YoY),Growth,0,0.7552079704875287,0.7552079704875287,32
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,2,0.7543533784709575,0.7543533784709575,30
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,3,0.7517742452603667,0.7517742452603667,22
