central_bank_code,country,indicator_key,indicator,primary_category,frequency,importance,observations,mean,median,std,min,max,skew,first_date,last_date,outlier_iqr_count,range
BOC,CA,core_cpi_mom,Core CPI (MoM),Inflation,monthly,2,45,0.2577777777777778,0.3,0.32924768853257025,-0.5,1.0,-0.24352325138146952,2022-03-01,2026-03-01,0,1.5
BOC,CA,core_cpi_yoy,Core CPI (YoY),Inflation,monthly,1,76,2.9039473684210524,2.6,1.504432631878094,0.7,6.2,0.7802482166507936,2019-12-01,2026-03-01,0,5.5
BOC,CA,cpi_headline_mom,Headline CPI (MoM),Inflation,monthly,2,72,0.28194444444444444,0.3,0.42767843286812124,-0.7,1.4,0.13683167379417785,2020-01-01,2026-03-01,0,2.0999999999999996
BOC,CA,cpi_headline_yoy,Headline CPI (YoY),Inflation,monthly,1,76,3.168421052631579,2.7,2.0313680465023762,-0.4,8.1,0.6845775063672445,2019-12-01,2026-03-01,0,8.5
BOC,CA,ppi_mom,PPI (MoM),Inflation,monthly,2,73,0.436986301369863,0.4,1.245381116289203,-2.3,4.0,0.48416155197294486,2019-11-01,2026-03-01,0,6.3
BOC,CA,ppi_yoy,PPI (YoY),Inflation,monthly,2,76,4.707894736842105,2.8499999999999996,6.9327197771705675,-6.3,18.5,0.5310219076921452,2019-11-01,2026-03-01,0,24.8
BOC,CA,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,monthly,3,75,0.6986666666666667,0.6,4.624420879252716,-15.6,16.4,-0.24707357915134592,2019-11-01,2026-03-01,0,32.0
BOC,CA,raw_materials_prices_yoy,Raw Materials Prices (YoY),Inflation,monthly,3,76,6.873684210526315,4.0,17.808472653364017,-36.7,56.4,0.47772352313983046,2019-11-01,2026-03-01,0,93.1
BOC,CA,employment_change,Employment Change,Labor,monthly,1,76,22.61842105263158,34.6,305.71040924837183,-1993.8,952.9,-3.985174952876241,2019-12-01,2026-03-01,5,2946.7
BOC,CA,full_time_employment_change,Full-Time Employment Change,Labor,monthly,1,76,19.6,35.45,204.75647323914652,-1472.0,488.1,-5.232538989229045,2019-12-01,2026-03-01,3,1960.1
BOC,CA,part_time_employment_change,Part-Time Employment Change,Labor,monthly,1,76,3.0197368421052615,9.05,129.05163826389997,-536.7,464.8,-0.9255541695831231,2019-12-01,2026-03-01,4,1001.5
BOC,CA,unemployment_rate,Unemployment Rate,Labor,monthly,1,76,6.7671052631578945,6.5,1.7954303593953727,4.9,13.7,1.9484121166152415,2019-12-01,2026-03-01,3,8.799999999999999
BOC,CA,overnight_rate,Overnight Rate,Monetary Policy,monthly,1,2,2.25,2.25,0.0,2.25,2.25,,2026-01-28,2026-03-18,0,0.0
BOC,CA,cfib_business_barometer,CFIB Business Barometer,Sentiment,monthly,2,55,53.49981818181818,54.6,7.146103442490488,25.0,65.1,-1.3605236308452915,2021-10-01,2026-04-01,1,40.099999999999994
BOC,CA,balance_of_trade,Balance of Trade,Trade,monthly,2,76,-0.40828947368421054,-0.315,2.6511785495802402,-7.14,5.32,-0.3547669067600605,2019-11-01,2026-02-01,0,12.46
BOC,CA,exports,Exports,Trade,monthly,2,76,59.16092105263157,62.465,8.848198035401571,32.66,74.46,-0.9542654510022336,2019-11-01,2026-02-01,0,41.8
BOC,CA,imports,Imports,Trade,monthly,2,76,59.5671052631579,63.85,8.429075048630105,35.29,72.05,-0.855430641835736,2019-11-01,2026-02-01,0,36.76
BOE,UK,composite_pmi,Composite PMI,Growth,monthly,2,29,51.93103448275862,52.1,1.3719390470310535,48.5,54.1,-0.4272379895310063,2023-12-01,2026-04-01,0,5.600000000000001
BOE,UK,gdp_mom,GDP (MoM),Growth,monthly,1,69,0.026086956521739164,0.2,3.001502181453237,-20.4,8.7,-4.360638758107731,2019-11-01,2026-02-01,6,29.099999999999998
BOE,UK,gdp_qoq,GDP (QoQ),Growth,quarterly,1,24,0.2041666666666667,0.15000000000000002,5.48345171891056,-19.8,16.0,-1.1309879973167343,2020-01-01,2025-10-01,4,35.8
BOE,UK,gdp_yoy,GDP (YoY),Growth,monthly,1,73,0.5684931506849316,1.0,7.689872067862467,-24.5,27.6,-0.09690355596973473,2019-11-01,2026-02-01,23,52.1
BOE,UK,industrial_production_yoy,Industrial Production (YoY),Growth,monthly,2,76,-0.9776315789473684,-0.55,6.212044187097845,-24.4,27.5,0.6740526632715994,2019-11-01,2026-02-01,4,51.9
BOE,UK,manufacturing_pmi,Manufacturing PMI,Growth,monthly,2,29,49.08620689655172,49.1,2.4103532844097812,44.9,53.6,0.042210528021574184,2023-12-01,2026-04-01,0,8.700000000000003
BOE,UK,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,Growth,monthly,2,64,0.19062499999999993,0.2,4.430010166959561,-21.2,15.2,-2.0191015728068553,2020-02-01,2026-03-01,8,36.4
BOE,UK,public_sector_net_borrowing,Public Sector Net Borrowing,Growth,monthly,3,71,-13.405056338028169,-14.1,15.95589927884921,-61.36,30.4,0.1480291774768962,2019-12-01,2026-03-01,0,91.75999999999999
BOE,UK,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,monthly,2,75,0.18133333333333332,0.3,3.386926109094864,-15.2,13.5,-0.13633646702009028,2019-12-01,2026-02-01,5,28.7
BOE,UK,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,monthly,2,75,0.6280000000000001,0.5,6.675399775456311,-18.4,37.7,2.399037410222913,2019-12-01,2026-02-01,2,56.1
BOE,UK,retail_sales_mom,Retail Sales (MoM),Growth,monthly,1,73,0.18082191780821916,0.3,3.7495058020375085,-18.1,13.9,-0.504078083948143,2019-12-01,2026-02-01,5,32.0
BOE,UK,retail_sales_yoy,Retail Sales (YoY),Growth,monthly,1,73,0.4767123287671233,0.6,7.490169864338958,-22.6,42.4,2.4625086850386286,2019-12-01,2026-02-01,3,65.0
BOE,UK,services_pmi,Services PMI,Growth,monthly,1,29,52.310344827586206,52.3,1.3962564304970744,49.0,55.0,-0.13501946675561546,2023-12-01,2026-04-01,0,6.0
BOE,UK,halifax_hpi_yoy,Halifax House Price Index (YoY),Housing,monthly,3,4,0.8500000000000001,0.9,0.42031734043061647,0.3,1.3,-0.6464118585476194,2025-12-01,2026-03-01,0,1.0
BOE,UK,house_price_index_mom,House Price Index (MoM),Housing,monthly,3,77,0.26233766233766237,0.3,0.9464669706805413,-2.3,1.8,-0.6431008351754112,2019-12-01,2025-12-15,0,4.1
BOE,UK,house_price_index_yoy,House Price Index (YoY),Housing,monthly,3,79,4.073417721518988,3.0,3.930867616787364,-4.7,13.0,0.23380289416542288,2019-12-01,2026-04-22,0,17.7
BOE,UK,nationwide_hpi_yoy,Nationwide House Prices (YoY),Housing,monthly,3,75,4.022666666666667,3.0,4.752597393213734,-5.3,14.3,0.25364641091515966,2019-12-01,2026-03-01,0,19.6
BOE,UK,rightmove_hpi_yoy,Rightmove House Price Index (YoY),Housing,monthly,3,3,-0.20000000000000004,-0.2,0.7,-0.9,0.5,-2.4276013657984473e-16,2026-01-01,2026-04-01,0,1.4
BOE,UK,core_cpi_mom,Core CPI (MoM),Inflation,monthly,2,70,0.3371428571428572,0.4,0.4606773301178083,-0.9,1.4,-0.6411084147575893,2020-01-01,2026-03-01,0,2.3
BOE,UK,core_cpi_yoy,Core CPI (YoY),Inflation,monthly,1,76,3.797368421052632,3.5,1.834627932067646,0.9,7.1,0.14096834670845057,2019-12-01,2026-03-01,0,6.199999999999999
BOE,UK,core_rpi_mom,Core RPI (MoM),Inflation,monthly,3,22,0.2863636363636364,0.35,0.5321076283408538,-0.5,1.8,0.6259205619065369,2024-01-01,2026-03-01,0,2.3
